Harry Potter and the Philosopher's Stone (1 November 1981–20 June 1992)
Chapters overall 	Chapters in book 	Chapter title 	Date at the start of chapter
1 	1 	The Boy Who Lived 	1 November 1981
2 	2 	The Vanishing Glass 	23 June 1991
3 	3 	The Letters from No One 	23 July 1991
4 	4 	The Keeper of the Keys 	31 July 1991
5 	5 	Diagon Alley 	31 July 1991
6 	6 	The Journey from Platform Nine and Three-Quarters 	1 August 1991
7 	7 	The Sorting Hat 	1 September 1991
8 	8 	The Potions Master 	2 September 1991
9 	9 	The Midnight Duel 	12 September 1991
10 	10 	Hallowe'en 	13 September 1991
11 	11 	Quidditch 	8 November 1991
12 	12 	The Mirror of Erised 	21 December 1991
13 	13 	Nicolas Flamel 	5 January 1992
14 	14 	Norbert the Norwegian Ridgeback 	23 March 1992
15 	15 	The Forbidden Forest 	10 May 1992
16 	16 	Through the Trapdoor 	4 June 1992
17 	17 	The Man with Two Faces 	4 June 1992
Harry Potter and the Chamber of Secrets (31 July 1992–19 June 1993)
Chapters overall 	Chapters in book 	Chapter title 	Date at the start of chapter
18 	1 	The Worst Birthday 	31 July 1992
19 	2 	Dobby's Warning 	31 July 1992
20 	3 	The Burrow 	3 August 1992
21 	4 	At Flourish and Blotts 	12 August 1992
22 	5 	The Whomping Willow 	31 August 1992
23 	6 	Gilderoy Lockhart 	2 September 1992
24 	7 	Mudbloods and Murmurs 	5 September 1992
25 	8 	The Deathday Party 	24 October 1992
26 	9 	The Writing on the Wall 	31 October 1992
27 	10 	The Rogue Bludger 	5 November 1992
28 	11 	The Duelling Club 	8 November 1992
29 	12 	The Polyjuice Potion 	18 December 1992
30 	13 	The Very Secret Diary 	31 January 1993
31 	14 	Cornelius Fudge 	15 February 1993
32 	15 	Aragog 	24 May 1993
33 	16 	The Chamber of Secrets 	25 May 1993
34 	17 	The Heir of Slytherin 	29 May 1993
35 	18 	Dobby's Reward 	30 May 1993
Harry Potter and the Prisoner of Azkaban (30 July 1993–18 June 1994)
Chapters overall 	Chapters in book 	Chapter title 	Date at the start of chapter
36 	1 	Owl Post 	30 July 1993
37 	2 	Aunt Marge's Big Mistake 	31 July 1993
38 	3 	The Knight Bus 	6 August 1993
39 	4 	The Leaky Cauldron 	16 August 1993
40 	5 	The Dementor 	1 September 1993
41 	6 	Talons and Tea Leaves 	2 September 1993
42 	7 	The Boggart in the Wardrobe 	9 September 1993
43 	8 	Flight of the Fat Lady 	7 October 1993
44 	9 	Grim Defeat 	31 October 1993
45 	10 	The Marauder's Map 	7 November 1993
46 	11 	The Firebolt 	18 December 1993
47 	12 	The Patronus 	2 January 1994
48 	13 	Gryffindor versus Ravenclaw 	4 February 1994
49 	14 	Snape's Grudge 	5 February 1994
50 	15 	The Quidditch Final 	12 February 1994
51 	16 	Professor Trelawney's Prediction 	5 June 1994
52 	17 	Cat, Rat, and Dog 	9 June 1994
53 	18 	Moony, Wormtail, Padfoot and Prongs 	9 June 1994
54 	19 	The Servant of Lord Voldemort 	9 June 1994
55 	20 	The Dementor's Kiss 	9 June 1994
56 	21 	Hermione's Secret 	9 June 1994
57 	22 	Owl Post Again 	9 June 1994
Harry Potter and the Goblet of Fire (23 August 1994–3 July 1995)
Chapters overall 	Chapters in book 	Chapter title 	Date at the start of chapter
58 	1 	The Riddle House 	23 August 1994
59 	2 	The Scar 	23 August 1994
60 	3 	The Invitation 	23 August 1994
61 	4 	Back to the Burrow 	24 August 1994
62 	5 	Weasleys' Wizard Wheezes 	24 August 1994
63 	6 	The Portkey 	25 August 1994
64 	7 	Bagman and Crouch 	25 August 1994
65 	8 	The Quidditch World Cup 	25 August 1994
66 	9 	The Dark Mark 	25 August 1994
67 	10 	Mayhem at the Ministry 	26 August 1994
68 	11 	Aboard the Hogwarts Express 	1 September 1994
69 	12 	The Triwizard Tournament 	1 September 1994
70 	13 	Mad-Eye Moody 	2 September 1994
71 	14 	The Unforgivable Curses 	4 September 1994
72 	15 	Beauxbatons and Durmstrang 	23 October 1994
73 	16 	The Goblet of Fire 	30 October 1994
74 	17 	The Four Champions 	31 October 1994
75 	18 	The Weighing of the Wands 	1 November 1994
76 	19 	The Hungarian Horntail 	13 November 1994
77 	20 	The First Task 	23 November 1994
78 	21 	The House-Elf Liberation Front 	24 November 1994
79 	22 	The Unexpected Task 	8 December 1994
80 	23 	The Yule Ball 	19 December 1994
81 	24 	Rita Skeeter's Scoop 	26 December 1994
82 	25 	The Egg and the Eye 	16 January 1995
83 	26 	The Second Task 	23 February 1995
84 	27 	Padfoot Returns 	25 February 1995
85 	28 	The Madness of Mr Crouch 	26 February 1995
86 	29 	The Dream 	24 May 1995
87 	30 	The Pensieve 	26 May 1995
88 	31 	The Third Task 	26 May 1995
89 	32 	Flesh, Blood, and Bone 	24 June 1995
90 	33 	The Death Eaters 	24 June 1995
91 	34 	Priori Incantatem 	24 June 1995
92 	35 	Veritaserum 	25 June 1995
93 	36 	The Parting of the Ways 	25 June 1995
94 	37 	The Beginning 	26 June 1995
Harry Potter and the Order of the Phoenix (2 August 1995–25 June 1996)
Chapters overall 	Chapters in book 	Chapter title 	Date at the start of chapter
95 	1 	Dudley Demented 	2 August 1995
96 	2 	A Peck of Owls 	2 August 1995
97 	3 	The Advance Guard 	2 August 1995
98 	4 	Number Twelve, Grimmauld Place 	6 August 1995
99 	5 	The Order of the Phoenix 	6 August 1995
100 	6 	The Noble and Most Ancient House of Black 	6 August 1995
101 	7 	The Ministry of Magic 	12 August 1995
102 	8 	The Hearing 	12 August 1995
103 	9 	The Woes of Mrs Weasley 	12 August 1995
104 	10 	Luna Lovegood 	1 September 1995
105 	11 	The Sorting Hat's New Song 	1 September 1995
106 	12 	Professor Umbridge 	2 September 1995
107 	13 	Detention with Dolores 	3 September 1995
108 	14 	Percy and Padfoot 	8 September 1995
109 	15 	The Hogwarts High Inquisitor 	9 September 1995
110 	16 	In the Hog's Head 	26 September 1995
111 	17 	Educational Decree Number Twenty-four 	5 October 1995
112 	18 	Dumbledore's Army 	8 October 1995
113 	19 	The Lion and the Serpent 	6 November 1995
114 	20 	Hagrid's Tale 	7 November 1995
115 	21 	The Eye of the Snake 	12 November 1995
116 	22 	St Mungo's Hospital for Magical Maladies and Injuries 	18 December 1995
117 	23 	Christmas on the Closed Ward 	19 December 1995
118 	24 	Occlumency 	26 December 1995
119 	25 	The Beetle at Bay 	9 January 1996
120 	26 	Seen and Unforeseen 	14 February 1996
121 	27 	The Centaur and the Sneak 	10 March 1996
122 	28 	Snape's Worst Memory 	31 March 1996
123 	29 	Career Advice 	1 April 1996
124 	30 	Grawp 	28 April 1996
125 	31 	O.W.L.S 	31 May 1996
126 	32 	Out of the Fire 	18 June 1996
127 	33 	Fight and Flight 	18 June 1996
128 	34 	The Department of Mysteries 	18 June 1996
129 	35 	Beyond the Veil 	18 June 1996
130 	36 	The Only One He Ever Feared 	18 June 1996
131 	37 	The Lost Prophecy 	19 June 1996
132 	38 	The Second War Begins 	21 June 1996
Harry Potter and the Half-Blood Prince (28 June 1996–7 June 1997)
Chapters overall 	Chapters in book 	Chapter title 	Important dates in chapter 	Date at the start of chapter
133 	1 	The Other Minister 	18 June 1996 	12 July 1996
134 	2 	Spinner's End 	18 June–20 June 1996 	12 July 1996
135 	3 	Will and Won't 	18 June 1996 	12 July 1996
136 	4 	Horace Slughorn 	1930s; 1982 	12 July 1996
137 	5 	An Excess of Phlegm 	24 June 1995; April–June 1996 	13 July 1996
138 	6 	Draco's Detour 	June–July 1996 	14 July 1996
139 	7 	The Slug Club 	August 1996 	4 August 1996
140 	8 	Snape Victorious 	1 September 1996 	1 September 1996
141 	9 	The Half-Blood Prince 	2 September 1996 	2 September 1996
142 	10 	The House of Gaunt 	3 September 1996; August–13 September 1925 	3 September 1996
143 	11 	Hermione's Helping Hand 	8 September 1996; 6 September 1996 	8 September 1996
144 	12 	Silver and Opals 	12 October 1996 	12 October 1996
145 	13 	The Secret Riddle 	July–August 1938; 14 October 1996 	14 October 1996
146 	14 	Felix Felicis 	15 October 1996 	15 October 1996
147 	15 	The Unbreakable Vow 	19 November 1996 	19 November 1996
148 	16 	A Very Frosty Christmas 	1 December–20 December 1996 	21 December 1996
149 	17 	A Sluggish Memory 	3 January 1997; September 1943–July 1944 	3 January 1997
150 	18 	Birthday Surprises 	7 January 1997; 28 February 1997; 1 March 1980 	7 January 1997
151 	19 	Elf Tails 	2 March 1997 	2 March 1997
152 	20 	Lord Voldemort's Request 	1955 or 1961; 10 March 1997 	10 March 1997
153 	21 	The Unknowable Room 	16 March 1997; 18 March 1997 	16 March 1997
154 	22 	After the Burial 	21 April 1997; September 1943–July 1944 	21 April 1997
155 	23 	Horcruxes 	21 April 1997; September 1943–July 1944 	21 April 1997
156 	24 	Sectumsempra 	21 April–1 June 1997 	21 April 1997
157 	25 	The Seer Overheard 	1980, 2 June–3 June 1997 	2 June 1997
158 	26 	The Cave 	1930s; 4 June 1997 	4 June 1997
159 	27 	The Lightning Struck Tower 	4 June 1997 	4 June 1997
160 	28 	Flight of the Prince 	4 June 1997 	4 June 1997
161 	29 	The Phoenix Lament 	4 June–5 June 1997 	4 June 1997
162 	30 	The White Tomb 	6 June 1997 	6 June 1997
Harry Potter and the Deathly Hallows (19 July 1997–1 September 2017)
Chapters overall 	Chapters in book 	Chapter title 	Date at the start of chapter 	Date at the end of chapter
163 	1 	The Dark Lord Ascending 	19 July 1997 	20 July 1997
164 	2 	In Memoriam 	27 July 1997 	27 July 1997
165 	3 	The Dursleys Departing 	27 July 1997 	27 July 1997
166 	4 	The Seven Potters 	27 July 1997 	27 July 1997
167 	5 	Fallen Warrior 	27 July 1997 	27 July 1997
168 	6 	The Ghoul in Pyjamas 	29 July 1997 	30 July 1997
169 	7 	The Will of Albus Dumbledore 	31 July 1997 	1 August 1997
170 	8 	The Wedding 	1 August 1997 	1 August 1997
171 	9 	A Place to Hide 	1 August 1997 	2 August 1997
172 	10 	Kreacher's Tale 	2 August 1997 	3 August 1997
173 	11 	The Bribe 	4 August 1997 	31 August 1997
174 	12 	Magic is Might 	1 September 1997 	2 September 1997
175 	13 	The Muggle-Born Registration Commission 	2 September 1997 	2 September 1997
176 	14 	The Thief 	2 September 1997 	3 September 1997
177 	15 	The Goblin’s Revenge 	3 September 1997 	13 October 1997
178 	16 	Godric's Hollow 	13 October 1997 	24 December 1997
179 	17 	Bathilda's Secret 	24 December 1997 	25 December 1997
180 	18 	The Life and Lies of Albus Dumbledore 	25 December 1997 	26 December 1997
181 	19 	The Silver Doe 	26 December 1997 	27 December 1997
182 	20 	Xenophilius Lovegood 	27 December 1997 	28 December 1997
183 	21 	The Tale of the Three Brothers 	28 December 1997 	28 December 1997
184 	22 	The Deathly Hallows 	28 December 1997 	23 March 1998
185 	23 	Malfoy Manor 	23 March 1998 	24 March 1998
186 	24 	The Wandmaker 	24 March 1998 	24 March 1998
187 	25 	Shell Cottage 	24 March 1998 	24 March 1998
188 	26 	Gringotts 	27 March 1998 	30 April 1998
189 	27 	The Final Hiding Place 	1 May 1998 	1 May 1998
190 	28 	The Missing Mirror 	1 May 1998 	1 May 1998
191 	29 	The Lost Diadem 	1 May 1998 	1 May 1998
192 	30 	The Sacking of Severus Snape 	1 May 1998 	1 May 1998
193 	31 	The Battle of Hogwarts 	1 May 1998 	2 May 1998
194 	32 	The Elder Wand 	2 May 1998 	2 May 1998
195 	33 	The Prince's Tale 	2 May 1998 	2 May 1998
196 	34 	The Forest Again 	2 May 1998 	2 May 1998
197 	35 	King's Cross 	2 May 1998 	2 May 1998
198 	36 	The Flaw in the Plan 	2 May 1998 	2 May 1998
